x_m,y_m,reachable,error_code,feasible_yaw_deg,manipulability
-0.0800,-0.3000,1,1,0.0,0.00820
-0.0600,-0.3000,1,1,0.0,0.00777
-0.0400,-0.3000,1,1,0.0,0.00747
-0.0200,-0.3000,1,1,0.0,0.00729
0.0000,-0.3000,1,1,0.0,0.00723
0.0200,-0.3000,1,1,0.0,0.00729
0.0400,-0.3000,1,1,0.0,0.00747
0.0600,-0.3000,1,1,0.0,0.00777
0.0800,-0.3000,1,1,0.0,0.00820
0.1000,-0.3000,1,1,0.0,0.00875
0.1200,-0.3000,1,1,0.0,0.00942
0.1400,-0.3000,1,1,0.0,0.01023
0.1600,-0.3000,1,1,0.0,0.01116
0.1800,-0.3000,1,1,30.0,0.01220
0.2000,-0.3000,1,1,30.0,0.01336
0.2200,-0.3000,1,1,30.0,0.01462
0.2400,-0.3000,1,1,30.0,0.01595
0.2600,-0.3000,1,1,30.0,0.01733
0.2800,-0.3000,1,1,30.0,0.01871
0.3000,-0.3000,1,1,30.0,0.02003
0.3200,-0.3000,1,1,30.0,0.02122
0.3400,-0.3000,1,1,30.0,0.02215
0.3600,-0.3000,1,1,30.0,0.02267
0.3800,-0.3000,1,1,30.0,0.02250
0.4000,-0.3000,0,-31,-1.0,0.00000
0.4200,-0.3000,0,-31,-1.0,0.00000
0.4400,-0.3000,0,-31,-1.0,0.00000
0.4600,-0.3000,0,-31,-1.0,0.00000
0.4800,-0.3000,0,-31,-1.0,0.00000
0.5000,-0.3000,0,-31,-1.0,0.00000
0.5200,-0.3000,0,-31,-1.0,0.00000
-0.0800,-0.2800,1,1,0.0,0.00645
-0.0600,-0.2800,1,1,0.0,0.00604
-0.0400,-0.2800,1,1,0.0,0.00575
-0.0200,-0.2800,1,1,0.0,0.00557
0.0000,-0.2800,1,1,0.0,0.00552
0.0200,-0.2800,1,1,0.0,0.00557
0.0400,-0.2800,1,1,0.0,0.00575
0.0600,-0.2800,1,1,0.0,0.00604
0.0800,-0.2800,1,1,0.0,0.00645
0.1000,-0.2800,1,1,0.0,0.00699
0.1200,-0.2800,1,1,0.0,0.00765
0.1400,-0.2800,1,1,0.0,0.00844
0.1600,-0.2800,1,1,0.0,0.00936
0.1800,-0.2800,1,1,30.0,0.01041
0.2000,-0.2800,1,1,30.0,0.01159
