idx,x,y,z,u,v,reachable
0,-0.1350,-0.2600,0.0200,-0.5350,-0.2600,1
1,-0.1152,-0.2600,0.0200,-0.5152,-0.2600,1
2,-0.0954,-0.2600,0.0200,-0.4954,-0.2600,1
3,-0.0756,-0.2600,0.0200,-0.4756,-0.2600,1
4,-0.0557,-0.2600,0.0200,-0.4557,-0.2600,1
5,-0.0359,-0.2600,0.0200,-0.4359,-0.2600,1
6,-0.0161,-0.2600,0.0200,-0.4161,-0.2600,1
7,0.0037,-0.2600,0.0200,-0.3963,-0.2600,1
8,0.0235,-0.2600,0.0200,-0.3765,-0.2600,1
9,0.0433,-0.2600,0.0200,-0.3567,-0.2600,1
10,0.0631,-0.2600,0.0200,-0.3369,-0.2600,1
11,0.0830,-0.2600,0.0200,-0.3170,-0.2600,1
12,0.1028,-0.2600,0.0200,-0.2972,-0.2600,1
13,0.1226,-0.2600,0.0200,-0.2774,-0.2600,1
14,0.1424,-0.2600,0.0200,-0.2576,-0.2600,1
15,0.1622,-0.2600,0.0200,-0.2378,-0.2600,1
16,0.1820,-0.2600,0.0200,-0.2180,-0.2600,1
17,0.2019,-0.2600,0.0200,-0.1981,-0.2600,1
18,0.2217,-0.2600,0.0200,-0.1783,-0.2600,1
19,0.2415,-0.2600,0.0200,-0.1585,-0.2600,1
20,0.2613,-0.2600,0.0200,-0.1387,-0.2600,1
21,0.2811,-0.2600,0.0200,-0.1189,-0.2600,1
22,0.3009,-0.2600,0.0200,-0.0991,-0.2600,1
23,0.3207,-0.2600,0.0200,-0.0793,-0.2600,1
24,0.3406,-0.2600,0.0200,-0.0594,-0.2600,1
25,0.3604,-0.2600,0.0200,-0.0396,-0.2600,1
26,0.3802,-0.2600,0.0200,-0.0198,-0.2600,1
27,0.4000,-0.2600,0.0200,0.0000,-0.2600,1
28,0.4198,-0.2600,0.0200,0.0198,-0.2600,0
29,0.4396,-0.2600,0.0200,0.0396,-0.2600,0
30,0.4594,-0.2600,0.0200,0.0594,-0.2600,0
31,0.4793,-0.2600,0.0200,0.0793,-0.2600,0
32,0.4991,-0.2600,0.0200,0.0991,-0.2600,0
33,0.5189,-0.2600,0.0200,0.1189,-0.2600,0
34,0.5387,-0.2600,0.0200,0.1387,-0.2600,0
35,0.5585,-0.2600,0.0200,0.1585,-0.2600,0
36,0.5783,-0.2600,0.0200,0.1783,-0.2600,0
37,0.5981,-0.2600,0.0200,0.1981,-0.2600,0
38,0.6180,-0.2600,0.0200,0.2180,-0.2600,0
39,0.6378,-0.2600,0.0200,0.2378,-0.2600,0
40,0.6576,-0.2600,0.0200,0.2576,-0.2600,0
41,0.6774,-0.2600,0.0200,0.2774,-0.2600,0
42,0.6972,-0.2600,0.0200,0.2972,-0.2600,0
43,0.7170,-0.2600,0.0200,0.3170,-0.2600,0
44,0.7369,-0.2600,0.0200,0.3369,-0.2600,0
45,0.7567,-0.2600,0.0200,0.3567,-0.2600,0
46,0.7765,-0.2600,0.0200,0.3765,-0.2600,0
47,0.7963,-0.2600,0.0200,0.3963,-0.2600,0
48,0.8161,-0.2600,0.0200,0.4161,-0.2600,0
49,0.8359,-0.2600,0.0200,0.4359,-0.2600,0
50,0.8557,-0.2600,0.0200,0.4557,-0.2600,0
51,0.8756,-0.2600,0.0200,0.4756,-0.2600,0
52,0.8954,-0.2600,0.0200,0.4954,-0.2600,0
53,0.9152,-0.2600,0.0200,0.5152,-0.2600,0
54,0.9350,-0.2600,0.0200,0.5350,-0.2600,0
55,0.9350,-0.2400,0.0200,0.5350,-0.2400,0
56,0.9350,-0.2200,0.0200,0.5350,-0.2200,0
57,0.9152,-0.2200,0.0200,0.5152,-0.2200,0
58,0.8954,-0.2200,0.0200,0.4954,-0.2200,0
59,0.8756,-0.2200,0.0200,0.4756,-0.2200,0
60,0.8557,-0.2200,0.0200,0.4557,-0.2200,0
61,0.8359,-0.2200,0.0200,0.4359,-0.2200,0
62,0.8161,-0.2200,0.0200,0.4161,-0.2200,0
63,0.7963,-0.2200,0.0200,0.3963,-0.2200,0
64,0.7765,-0.2200,0.0200,0.3765,-0.2200,0
65,0.7567,-0.2200,0.0200,0.3567,-0.2200,0
66,0.7369,-0.2200,0.0200,0.3369,-0.2200,0
67,0.7170,-0.2200,0.0200,0.3170,-0.2200,0
68,0.6972,-0.2200,0.0200,0.2972,-0.2200,0
69,0.6774,-0.2200,0.0200,0.2774,-0.2200,0
70,0.6576,-0.2200,0.0200,0.2576,-0.2200,0
71,0.6378,-0.2200,0.0200,0.2378,-0.2200,0
72,0.6180,-0.2200,0.0200,0.2180,-0.2200,0
