idx,x,y,z,u,v,reachable
0,0.4200,0.0916,0.0836,-0.0916,-0.2164,1
1,0.4200,0.1080,0.0931,-0.1080,-0.2069,1
2,0.4200,0.1244,0.1026,-0.1244,-0.1974,1
3,0.4200,0.1390,0.1145,-0.1390,-0.1855,1
4,0.4200,0.1535,0.1265,-0.1535,-0.1735,1
5,0.4200,0.1659,0.1405,-0.1659,-0.1595,1
6,0.4200,0.1782,0.1545,-0.1782,-0.1455,1
7,0.4200,0.1881,0.1703,-0.1881,-0.1297,1
8,0.4200,0.1979,0.1860,-0.1979,-0.1140,1
9,0.4200,0.2051,0.2030,-0.2051,-0.0970,1
10,0.4200,0.2122,0.2200,-0.2122,-0.0800,1
11,0.4200,0.2165,0.2378,-0.2165,-0.0622,1
12,0.4200,0.2207,0.2556,-0.2207,-0.0444,1
13,0.4200,0.2220,0.2737,-0.2220,-0.0263,1
14,0.4200,0.2233,0.2918,-0.2233,-0.0082,1
15,0.4200,0.2217,0.3098,-0.2217,0.0098,1
16,0.4200,0.2201,0.3277,-0.2201,0.0277,1
17,0.4200,0.2156,0.3451,-0.2156,0.0451,1
18,0.4200,0.2112,0.3624,-0.2112,0.0624,1
19,0.4200,0.2040,0.3787,-0.2040,0.0787,1
20,0.4200,0.1969,0.3949,-0.1969,0.0949,1
21,0.4200,0.1873,0.4097,-0.1873,0.1097,1
22,0.4200,0.1776,0.4245,-0.1776,0.1245,1
23,0.4200,0.1659,0.4374,-0.1659,0.1374,1
24,0.4200,0.1541,0.4504,-0.1541,0.1504,1
25,0.4200,0.1404,0.4611,-0.1404,0.1611,1
26,0.4200,0.1268,0.4719,-0.1268,0.1719,1
27,0.4200,0.1118,0.4803,-0.1118,0.1803,1
28,0.4200,0.0967,0.4887,-0.0967,0.1887,1
29,0.4200,0.0806,0.4944,-0.0806,0.1944,1
30,0.4200,0.0645,0.5002,-0.0645,0.2002,1
31,0.4200,0.0478,0.5033,-0.0478,0.2033,1
32,0.4200,0.0311,0.5064,-0.0311,0.2064,1
33,0.4200,0.0143,0.5067,-0.0143,0.2067,1
34,0.4200,-0.0025,0.5070,0.0025,0.2070,1
35,0.4200,-0.0191,0.5047,0.0191,0.2047,1
36,0.4200,-0.0356,0.5023,0.0356,0.2023,1
37,0.4200,-0.0514,0.4973,0.0514,0.1973,1
