t,F_meas_N,speed_mps,mode,depth_m
0.476,0.000,0.000,APPROACH,0.00000
0.528,0.014,0.136,APPROACH,0.00000
0.569,0.006,0.143,APPROACH,0.00000
0.609,0.007,0.149,APPROACH,0.00000
0.652,0.015,0.156,APPROACH,0.00000
0.694,0.027,0.162,APPROACH,0.00000
0.735,0.041,0.169,APPROACH,0.00000
0.778,0.056,0.176,APPROACH,0.00000
0.818,0.069,0.183,APPROACH,0.00000
0.860,0.084,0.190,APPROACH,0.00000
0.901,0.095,0.198,APPROACH,0.00000
0.943,0.106,0.200,APPROACH,0.00000
0.985,0.115,0.200,APPROACH,0.00000
1.029,0.124,0.200,APPROACH,0.00000
1.075,0.134,0.200,APPROACH,0.00000
1.121,0.145,0.200,APPROACH,0.00000
1.169,0.146,0.200,APPROACH,0.00000
1.219,0.142,0.200,APPROACH,0.00000
1.270,0.140,0.200,APPROACH,0.00000
1.323,0.139,0.200,APPROACH,0.00000
1.377,0.136,0.200,APPROACH,0.00000
1.433,0.134,0.200,APPROACH,0.00000
1.489,0.129,0.200,APPROACH,0.00000
1.547,0.123,0.200,APPROACH,0.00000
1.608,0.121,0.200,APPROACH,0.00000
1.669,0.117,0.200,APPROACH,0.00000
1.731,0.110,0.200,APPROACH,0.00000
1.795,0.105,0.200,APPROACH,0.00000
1.860,0.101,0.200,APPROACH,0.00000
1.926,0.095,0.200,APPROACH,0.00000
1.993,0.092,0.200,APPROACH,0.00000
2.062,0.086,0.200,APPROACH,0.00000
2.132,0.080,0.200,APPROACH,0.00000
2.202,0.074,0.200,APPROACH,0.00000
2.272,0.068,0.200,APPROACH,0.00000
2.344,0.062,0.200,APPROACH,0.00000
2.416,0.056,0.200,APPROACH,0.00000
2.490,0.049,0.200,APPROACH,0.00000
2.613,0.043,0.000,APPROACH,0.00000
2.663,0.043,0.000,APPROACH,0.00040
2.715,0.043,0.000,APPROACH,0.00080
2.766,0.044,0.000,APPROACH,0.00120
2.819,0.044,0.000,APPROACH,0.00160
2.870,0.044,0.000,APPROACH,0.00200
2.920,0.044,0.000,APPROACH,0.00240
2.971,0.044,0.000,APPROACH,0.00280
3.021,0.044,0.000,APPROACH,0.00320
3.072,0.044,0.000,APPROACH,0.00360
3.124,0.044,0.000,APPROACH,0.00400
3.174,0.044,0.000,APPROACH,0.00440
3.225,0.044,0.000,APPROACH,0.00480
3.276,0.044,0.000,APPROACH,0.00520
3.328,0.044,0.000,APPROACH,0.00560
3.380,0.044,0.000,APPROACH,0.00600
3.432,0.044,0.000,APPROACH,0.00640
3.483,0.044,0.000,APPROACH,0.00680
3.534,0.044,0.000,APPROACH,0.00720
3.585,0.044,0.000,APPROACH,0.00760
3.635,0.044,0.000,APPROACH,0.00800
3.686,0.044,0.000,APPROACH,0.00840
3.738,0.044,0.000,APPROACH,0.00880
3.790,0.044,0.000,APPROACH,0.00920
3.842,0.044,0.000,APPROACH,0.00960
3.894,0.044,0.000,APPROACH,0.01000
3.945,0.044,0.000,APPROACH,0.01040
3.996,0.044,0.000,APPROACH,0.01080
4.048,0.044,0.000,APPROACH,0.01120
4.100,0.044,0.000,APPROACH,0.01160
4.152,0.044,0.000,APPROACH,0.01200
4.204,0.044,0.000,APPROACH,0.01240
4.255,0.044,0.000,APPROACH,0.01280
4.306,0.044,0.000,APPROACH,0.01320
4.358,0.044,0.000,APPROACH,0.01360
4.409,0.044,0.000,APPROACH,0.01400
4.459,0.044,0.000,APPROACH,0.01440
4.511,0.044,0.000,APPROACH,0.01480
4.563,0.044,0.000,APPROACH,0.01520
4.615,0.044,0.000,APPROACH,0.01560
4.666,0.044,0.000,APPROACH,0.01600
4.717,0.044,0.000,APPROACH,0.01600
4.769,0.044,0.000,APPROACH,0.01600
4.820,0.044,0.000,APPROACH,0.01600
4.872,0.044,0.000,APPROACH,0.01600
4.924,0.044,0.000,APPROACH,0.01600
4.976,0.044,0.000,APPROACH,0.01600
5.027,0.044,0.000,APPROACH,0.01600
5.078,0.044,0.000,APPROACH,0.01600
5.130,0.044,0.000,APPROACH,0.01600
5.182,0.044,0.000,APPROACH,0.01600
5.234,0.044,0.000,APPROACH,0.01600
5.286,0.044,0.000,APPROACH,0.01600
5.337,0.044,0.000,APPROACH,0.01600
5.388,0.044,0.000,APPROACH,0.01600
5.440,0.044,0.000,APPROACH,0.01600
5.492,0.044,0.000,APPROACH,0.01600
5.544,0.044,0.000,APPROACH,0.01600
5.596,0.044,0.000,APPROACH,0.01600
5.647,0.044,0.000,APPROACH,0.01600
5.648,0.044,0.200,APPROACH,0.01600
5.723,0.044,0.200,APPROACH,0.01600
5.797,10.169,0.000,CONTACT,0.01599
5.847,30.371,0.165,BACKOFF,0.01399
5.889,37.933,0.166,BACKOFF,0.01199
5.929,39.270,0.166,BACKOFF,0.00999
5.970,33.180,0.167,BACKOFF,0.00799
6.013,20.972,0.168,BACKOFF,0.00599
6.053,11.775,0.169,BACKOFF,0.00399
6.095,4.850,0.166,BACKOFF,0.00199
6.138,2.013,0.166,BACKOFF,0.00000
6.179,0.851,0.167,BACKOFF,0.00000
6.221,0.309,0.167,BACKOFF,0.00000
6.265,0.214,0.167,BACKOFF,0.00000
6.307,0.114,0.168,BACKOFF,0.00000
6.350,0.073,0.168,BACKOFF,0.00000
6.391,0.054,0.167,BACKOFF,0.00000
6.432,0.048,0.167,BACKOFF,0.00000
6.476,0.046,0.167,BACKOFF,0.00000
6.517,0.045,0.166,APPROACH,0.00033
6.559,0.045,0.166,APPROACH,0.00066
6.601,0.045,0.199,APPROACH,0.00100
6.642,0.045,0.198,APPROACH,0.00000
6.683,0.040,0.197,APPROACH,0.00000
6.724,0.035,0.196,APPROACH,0.00000
6.766,0.028,0.194,APPROACH,0.00000
6.808,0.021,0.193,APPROACH,0.00000
6.850,0.016,0.192,APPROACH,0.00000
6.892,0.011,0.191,APPROACH,0.00000
6.933,0.007,0.190,APPROACH,0.00000
6.974,0.003,0.188,APPROACH,0.00000
7.016,0.001,0.200,APPROACH,0.00000
7.100,0.001,0.200,APPROACH,0.00000
7.186,0.000,0.200,APPROACH,0.00000
7.270,0.000,0.200,APPROACH,0.00000
7.355,0.000,0.200,APPROACH,0.00000
7.439,0.000,0.200,APPROACH,0.00000
7.525,0.000,0.200,APPROACH,0.00000
7.609,0.000,0.200,APPROACH,0.00000
7.693,0.000,0.200,APPROACH,0.00000
7.777,0.000,0.200,APPROACH,0.00000
7.861,0.000,0.200,APPROACH,0.00000
7.946,0.000,0.200,APPROACH,0.00000
8.030,0.000,0.200,APPROACH,0.00000
8.116,0.000,0.200,APPROACH,0.00000
8.200,0.000,0.200,APPROACH,0.00000
8.284,0.000,0.200,APPROACH,0.00000
8.368,0.000,0.200,APPROACH,0.00000
8.452,0.000,0.200,APPROACH,0.00000
8.537,0.000,0.188,APPROACH,0.00000
8.579,0.000,0.190,APPROACH,0.00000
8.620,0.001,0.191,APPROACH,0.00000
8.662,0.001,0.192,APPROACH,0.00000
8.705,0.001,0.193,APPROACH,0.00000
8.747,0.000,0.194,APPROACH,0.00000
8.788,0.000,0.196,APPROACH,0.00000
8.830,0.000,0.197,APPROACH,0.00000
8.921,0.000,0.000,APPROACH,0.00000
8.972,0.000,0.000,APPROACH,0.00040
9.023,0.000,0.000,APPROACH,0.00080
9.075,0.000,0.000,APPROACH,0.00120
9.127,0.000,0.000,APPROACH,0.00160
9.177,0.000,0.000,APPROACH,0.00200
9.229,0.000,0.000,APPROACH,0.00240
9.281,0.000,0.000,APPROACH,0.00280
9.332,0.000,0.000,APPROACH,0.00320
9.382,0.000,0.000,APPROACH,0.00360
9.433,0.000,0.000,APPROACH,0.00400
9.485,0.000,0.000,APPROACH,0.00440
9.537,0.000,0.000,APPROACH,0.00480
9.589,0.000,0.000,APPROACH,0.00520
9.641,0.000,0.000,APPROACH,0.00560
9.692,0.000,0.000,APPROACH,0.00600
9.743,0.000,0.000,APPROACH,0.00640
9.795,0.000,0.000,APPROACH,0.00680
9.847,0.000,0.000,APPROACH,0.00720
9.898,0.000,0.000,APPROACH,0.00760
9.950,0.000,0.000,APPROACH,0.00800
10.002,0.000,0.000,APPROACH,0.00840
10.053,0.000,0.000,APPROACH,0.00880
10.104,0.000,0.000,APPROACH,0.00920
10.154,0.000,0.000,APPROACH,0.00960
10.205,0.000,0.000,APPROACH,0.01000
10.255,0.000,0.000,APPROACH,0.01040
10.307,0.000,0.000,APPROACH,0.01080
10.359,0.000,0.000,APPROACH,0.01120
10.409,0.000,0.000,APPROACH,0.01160
10.461,0.000,0.000,APPROACH,0.01200
10.513,0.000,0.000,APPROACH,0.01240
10.564,0.000,0.000,APPROACH,0.01280
10.615,0.000,0.000,APPROACH,0.01320
10.667,0.000,0.000,APPROACH,0.01360
10.719,0.000,0.000,APPROACH,0.01400
10.771,0.000,0.000,APPROACH,0.01440
10.823,0.000,0.000,APPROACH,0.01480
10.874,0.000,0.000,APPROACH,0.01520
