t,F_meas_N,speed_mps,mode,delta_m
0.0000,0.0000,0.0000,APPROACH,-0.03950
0.0100,0.0000,0.0000,APPROACH,-0.03900
0.0200,0.0000,0.0000,APPROACH,-0.03850
0.0300,0.0000,0.0000,APPROACH,-0.03800
0.0400,0.0000,0.0000,APPROACH,-0.03750
0.0500,0.0000,0.0000,APPROACH,-0.03700
0.0600,0.0000,0.0000,APPROACH,-0.03650
0.0700,0.0000,0.0000,APPROACH,-0.03600
0.0800,0.0000,0.0000,APPROACH,-0.03550
0.0900,0.0000,0.0000,APPROACH,-0.03500
0.1000,0.0000,0.0000,APPROACH,-0.03450
0.1100,0.0000,0.0000,APPROACH,-0.03400
0.1200,0.0000,0.0000,APPROACH,-0.03350
0.1300,0.0000,0.0000,APPROACH,-0.03300
0.1400,0.0000,0.0000,APPROACH,-0.03250
0.1500,0.0000,0.0000,APPROACH,-0.03200
0.1600,0.0000,0.0000,APPROACH,-0.03150
0.1700,0.0000,0.0000,APPROACH,-0.03100
0.1800,0.0000,0.0000,APPROACH,-0.03050
0.1900,0.0000,0.0000,APPROACH,-0.03000
0.2000,0.0000,0.0000,APPROACH,-0.02950
0.2100,0.0000,0.0000,APPROACH,-0.02900
0.2200,0.0000,0.0000,APPROACH,-0.02850
0.2300,0.0000,0.0000,APPROACH,-0.02800
0.2400,0.0000,0.0000,APPROACH,-0.02750
0.2500,0.0000,0.0000,APPROACH,-0.02700
0.2600,0.0000,0.0000,APPROACH,-0.02650
0.2700,0.0000,0.0000,APPROACH,-0.02600
0.2800,0.0000,0.0000,APPROACH,-0.02550
0.2900,0.0000,0.0000,APPROACH,-0.02500
0.3000,0.0000,0.0000,APPROACH,-0.02450
0.3100,0.0000,0.0000,APPROACH,-0.02400
0.3200,0.0000,0.0000,APPROACH,-0.02350
0.3300,0.0000,0.0000,APPROACH,-0.02300
0.3400,0.0000,0.0000,APPROACH,-0.02250
0.3500,0.0000,0.0000,APPROACH,-0.02200
0.3600,0.0000,0.0000,APPROACH,-0.02150
